Body Part,Equipment Required,ID,Name,Primary Muscle Group,Duration(min),Reps,Sets,Rest Time(sec),Calories Burned,Difficulty Level,Intensity Level,Video Link,Image Link,Secondary Muscle Group,Category
shoulders,dumbbell,609,dumbbell one arm shoulder press,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,dumbbell,610,dumbbell one arm shoulder press v. 2,delts,5,12,3,30,20,Beginner,Medium,,,,
upper legs,dumbbell,611,dumbbell one arm snatch,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper arms,dumbbell,612,dumbbell one arm standing curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,613,dumbbell one arm standing hammer curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,614,dumbbell one arm triceps extension (on bench),triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
shoulders,dumbbell,615,dumbbell one arm upright row,delts,5,12,3,30,20,Beginner,Medium,,,,
lower arms,dumbbell,616,dumbbell one arm wrist curl,forearms,5,12,3,30,20,Beginner,Medium,,,,
upper arms,dumbbell,617,dumbbell one arm zottman preacher curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
chest,dumbbell,618,dumbbell one leg fly on exercise ball,pectorals,5,12,3,30,20,Beginner,Medium,,,,
upper arms,dumbbell,619,dumbbell over bench neutral wrist curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,620,dumbbell over bench one arm  neutral wrist curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
lower arms,dumbbell,621,dumbbell over bench one arm reverse wrist curl,forearms,5,12,3,30,20,Beginner,Medium,,,,
lower arms,dumbbell,622,dumbbell over bench one arm wrist curl,forearms,5,12,3,30,20,Beginner,Medium,,,,
lower arms,dumbbell,623,dumbbell over bench revers wrist curl,forearms,5,12,3,30,20,Beginner,Medium,,,,
lower arms,dumbbell,624,dumbbell over bench wrist curl,forearms,5,12,3,30,20,Beginner,Medium,,,,
