Body Part,Equipment Required,ID,Name,Primary Muscle Group,Duration(min),Reps,Sets,Rest Time(sec),Calories Burned,Difficulty Level,Intensity Level,Video Link,Image Link,Secondary Muscle Group,Category
waist,body weight,799,flexion leg sit up (bent knee),abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,800,flexion leg sit up (straight arm),abs,5,15,3,30,30.62,Intermediate,Medium,,,,
chest,barbell,801,floor fly (with barbell),pectorals,5,12,3,30,20,Beginner,Medium,,,,
upper legs,body weight,802,flutter kicks,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,body weight,803,forward jump,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
upper legs,body weight,804,forward lunge (male),glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,barbell,805,frankenstein squat,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
waist,body weight,806,frog crunch,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,807,frog planche,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,808,front lever,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
back,body weight,809,front lever reps,upper back,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,810,front plank with twist,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,811,full maltese,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,812,full planche,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
chest,body weight,813,full planche push-up,pectorals,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,814,gironda sternum chin,lats,5,12,3,30,20,Beginner,Medium,,,,
